model_1,True,2
model_2,True,2
model_3,False,1,2.649406462122188,-2.2170626455859592
model_4,True,2
model_5,True,2
model_6,True,2
model_7,True,2
model_8,False,1,2.4589798138525834,-2.9660046828321525
model_9,True,2
model_10,True,2
model_11,True,2
model_12,True,2
model_13,True,2
model_14,False,1,2.6358125066062703,-2.6788051274091687
model_15,False,1,-2.46097383123642,1.9822096238275027
model_16,True,2
model_17,False,1,17.358954775603433,4.1033908719430565
model_18,True,2
model_19,True,2
model_20,True,2
model_21,True,2
model_22,True,2
model_23,False,1,-3.4757944492292023,15.542624062127878
model_24,True,2
model_25,True,2
model_26,True,2
model_27,True,2
model_28,True,2
model_29,False,1,17.698464524064455,3.136944720577898
model_30,True,2
